type,rank,name,country,score,startDate,competition,competition_short,url,season,gender
FS,23,Natasha McKAY,GBR,95.31,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,1,Nathan CHEN,USA,222.03,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,3,Shoma UNO,JPN,184.82,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,4,Yuzuru HANYU,JPN,182.2,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,5,Mikhail KOLYADA,FSR,178.52,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,6,Keegan MESSING,CAN,176.75,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,7,Evgeni SEMENENKO,FSR,171.59,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,8,Jason BROWN,USA,170.92,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,9,Kevin AYMOZ,FRA,166.28,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,19,Satoko MIYAHARA,JPN,112.31,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,16,Lukas BRITSCHGI,SUI,147.28,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,18,Alexandra FEIGIN,BUL,113.55,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,12,Morisi KVITELASHVILI,GEO,157.15,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,13,Junhwan CHA,KOR,154.84,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,14,Han YAN,CHN,153.79,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,15,Aleksandr SELEVKO,EST,151.32,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,24,Alexei BYCHENKO,ISR,112.4,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,23,Nikolaj MAJOROV,SWE,117.2,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,22,Boyang JIN,CHN,121.2,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,21,Michal BREZINA,CZE,129.3,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,20,Ivan SHMURATKO,UKR,130.19,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,19,Donovan CARRILLO,MEX,130.87,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,18,Deniss VASILJEVS,LAT,131.83,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,17,Konstantin MILYUKOV,BLR,142.47,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,28,Basar OKTAR,TUR,67.14,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,10,Daniel GRASSL,ITA,163.38,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,4,Loena HENDRICKX,BEL,141.16,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,6,Kaori SAKAMOTO,JPN,70.38,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,5,Yelim KIM,KOR,73.63,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,4,Karen CHEN,USA,74.4,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,3,Elizaveta TUKTAMYSHEVA,FSR,78.86,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,2,Rika KIHIRA,JPN,79.08,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,1,Anna SHCHERBAKOVA,FSR,81,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,29,Maurizio ZANDRON,AUT,63.88,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,30,Peter James HALLAM,GBR,61.56,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,31,Valtter VIRTANEN,FIN,60.27,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,32,Mikhail SHAIDOROV,KAZ,59.14,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
SP,33,Larry LOUPOLOVER,BUL,58.93,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,M
FS,1,Alexandra TRUSOVA,FSR,152.38,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
